Brand,Model,Body,Color,Fuel,Kilometers,Engine,Transmission,Price,Gov,Age_of_Car
Hyundai,Accent,Sedan,Other Color,Benzine,5000,1600,Automatic,330.0,Giza,1
Hyundai,Accent,Sedan,Gray,Benzine,15000,1500,Manual,65.0,Cairo,22
Hyundai,Accent,Sedan,Other Color,Benzine,130000,1500,Manual,80.0,Sharqia,24
Hyundai,Accent,Sedan,Other Color,Benzine,130000,1600,Manual,135.0,Cairo,12
Hyundai,Accent,Sedan,Red,Benzine,85000,1500,Manual,47.0,Minya,23
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,25000,1600,Automatic,300.0,Cairo,1
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,200000,1500,Automatic,80.0,Cairo,20
Hyundai,Accent,Sedan,Black,Benzine,170000,1600,Manual,150.0,Cairo,12
Hyundai,Accent,Sedan,Gold,Natural Gas,200000,1500,Manual,78.0,Ismailia,21
Hyundai,Accent,Sedan,Gray,Benzine,110000,1600,Manual,133.0,Cairo,11
Hyundai,Accent,Sedan,Black,Benzine,200000,1600,Manual,120.0,Cairo,12
Hyundai,Accent,Sedan,Silver,Benzine,170000,1600,Automatic,187.0,Giza,7
Hyundai,Accent,Sedan,Black,Benzine,200000,1500,Automatic,140.0,Cairo,16
Hyundai,Accent,Sedan,Gold,Benzine,5000,1600,Automatic,320.0,Damietta,0
Hyundai,Accent,Sedan,Brown,Benzine,85000,1600,Automatic,195.0,Cairo,10
Hyundai,Accent,Sedan,Other Color,Benzine,65000,1500,Manual,62.0,Fayoum,22
Hyundai,Accent,Sedan,Black,Benzine,130000,1600,Automatic,165.0,Giza,11
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,15000,1500,Manual,30.0,Giza,28
Hyundai,Accent,Sedan,Gray,Benzine,110000,1500,Manual,133.0,Qalyubia,12
Hyundai,Accent,Sedan,Black,Benzine,130000,1600,Manual,150.0,Alexandria,11
Hyundai,Accent,Sedan,Gold,Benzine,130000,1600,Manual,147.0,Cairo,12
Hyundai,Accent,Sedan,Silver,Benzine,200000,1500,Manual,70.0,Cairo,23
Hyundai,Accent,Sedan,Silver,Benzine,200000,1500,Manual,57.0,Cairo,23
Hyundai,Accent,Sedan,Silver,Benzine,75000,1600,Automatic,153.0,Cairo,12
Hyundai,Accent,Sedan,Silver,Benzine,170000,1600,Automatic,190.0,Qalyubia,7
Hyundai,Accent,Sedan,Burgundy,Benzine,150000,1600,Manual,145.0,Sohag,11
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,15000,1500,Manual,70.0,Beni Suef,27
Hyundai,Accent,Sedan,Red,Benzine,190000,1600,Automatic,190.0,Alexandria,10
Hyundai,Accent,Sedan,Burgundy,Benzine,200000,1500,Manual,68.0,Cairo,22
Hyundai,Accent,Sedan,Other Color,Benzine,15000,1500,Manual,90.0,Asyut,23
Hyundai,Accent,Sedan,Silver,Benzine,200000,1600,Automatic,160.0,Cairo,14
